      TEMP,        HR,        PB,    TEMPCOMB,     HUMCOMB,     HUMSUBS,    TEMPSUBS
19.6,52,929.9,22.5,18,2,21.9
20.6,49,929.9,23.8,18,2,21.9
21.5,46,929.8,25.3,18,3,21.9
22.6,40,929.8,26.8,17,3,21.9
23.5,36,929.7,28,17,2,21.9
24.1,38,929.6,28.9,16,3,21.9
25,38,929.6,29.2,16,3,21.9
25.9,43,929.5,28.5,15,3,21.9
25.5,52,929.5,27.7,14,2,21.9
25.1,56,929.5,28.5,14,2,22
25.1,53,929.5,29.5,14,2,22
25.1,53,929.4,30.1,14,2,22.1
25.1,53,929.4,30.8,14,2,22.1
25.5,51,929.4,31.1,14,2,22.1
25.8,48,929.3,31.4,14,2,22.1
25.8,44,929.5,31.8,13,2,22.4
25.8,44,929.5,31.7,13,2,22.4
25.9,47,929.4,32.2,13,2,22.4
26.3,45,929.4,32.6,13,2,22.5
26.5,42,929.4,31.2,12,2,22.6
26.5,41,929.3,30.5,12,2,22.6
26.7,43,929.2,30.2,12,2,22.7
26.7,45,929.2,29.6,12,2,22.8
26.6,45,929.1,30.6,12,2,22.8
26.7,45,929.1,32,13,2,22.9
26.8,44,929.1,31.3,12,2,23
27.2,43,928.9,30.9,12,2,23
27.4,44,928.8,33.9,13,2,23.1
27.6,44,928.7,35.6,12,2,23.3
27.4,45,928.7,36.1,11,2,23.3
27.3,45,928.7,36.8,12,2,23.4
27.5,44,928.6,36.7,11,2,23.5
27.5,45,928.7,36.8,11,2,23.5
27.6,45,928.7,37,11,2,23.5
27.7,44,928.7,37.7,11,2,23.6
28.2,45,928.8,38.3,11,2,23.7
28.3,45,928.6,38.4,11,2,23.7
28.6,44,928.6,39.7,11,2,23.8
28.9,44,928.6,40.5,10,2,23.9
29.3,42,928.5,41.4,10,2,23.9
30.1,40,928.5,42.6,10,2,23.9
30.5,39,928.4,42.4,10,3,24.2
31.1,37,928.2,43.2,9,3,24.2
31.9,35,928.2,43.9,9,2,24.2
32.3,35,928.1,43.8,9,3,24.3
32,35,928.1,42.5,9,3,24.4
31.9,34,928,42.8,9,3,24.4
32.3,34,928,42.4,9,3,24.5
32.5,33,928,42.4,9,3,24.7
32.6,33,927.9,41.8,9,3,24.7
32.4,34,927.9,40.8,9,3,24.8
32.5,33,927.9,40.9,9,3,24.9
32.2,34,927.9,39.9,9,3,24.9
32.3,34,927.9,39.8,9,3,25
32.1,35,927.8,38.8,9,3,25.1
31.7,35,927.8,38,9,3,25.2
31.6,36,927.8,37.1,9,3,25.4
31.3,36,927.8,35.6,9,3,25.4
31,36,927.8,33.5,9,3,25.5
30.9,36,927.9,32.2,10,3,25.6
30.6,37,927.9,31.4,10,3,25.6
29.8,39,927.9,30.8,10,3,25.9
29.2,40,928,30,10,2,25.9
28.9,41,928.1,29.3,11,2,25.9
28.8,41,928.1,28.8,11,3,26
28.3,43,928.1,28.3,11,3,26.2
27.9,44,928.2,27.6,11,3,26.2
27.4,46,928.2,27.1,11,3,26.2
26.9,47,928.3,26.5,12,3,26.2
26.4,48,928.4,26.1,12,3,26.3
26.1,50,928.6,25.5,12,2,26.4
25.8,50,928.7,25.3,12,2,26.4
25.4,51,928.8,24.8,13,2,26.4
25.7,48,928.8,25.2,13,2,26.4
25.9,48,928.9,25.3,13,3,26.4
26,48,929,25.4,13,3,26.4
25.8,49,929,25.3,13,3,26.4
25.5,50,929,25,13,3,26.4
25.3,50,929.2,24.9,13,3,26.4
25.3,51,929.4,24.8,13,3,26.4
25.2,51,929.4,24.7,13,3,26.4
25,52,929.4,24.2,13,3,26.4
24.7,53,929.4,23.8,14,3,26.4
24.2,55,929.6,23.4,14,3,26.3
23.5,58,929.7,22.2,14,3,26.2
22.3,63,929.7,21.3,14,3,26.2
21.6,65,929.7,20.6,14,3,26.2
21,69,929.8,20,14,3,26.2
20.6,72,929.8,20.1,15,3,26.2
21.1,73,929.9,20.6,15,3,26.2
21.3,68,929.9,20.4,15,3,26.1
21.2,73,930,20.4,15,3,25.9
21,75,930,20.3,15,3,25.9
20.9,73,930,20,15,3,25.9
20.6,74,930.1,19.7,16,3,25.9
20.4,74,930.1,19.3,16,3,25.9
19.8,77,930.1,18.7,16,3,25.7
19.1,80,930,18.2,16,3,25.6
18.7,82,930,17.9,16,3,25.6
18.5,83,930,17.6,16,2,25.6
18.6,83,930,17.6,17,3,25.5
18.6,83,930,17.3,17,3,25.4
18.3,83,930,17,17,3,25.4
17.8,87,930,16.7,17,3,25.4
17.3,89,930,16.5,17,3,25.4
17,90,929.9,16.3,17,3,25.2
16.9,92,929.9,16.2,17,3,25.1
17,90,929.9,16.1,17,3,25.1
16.8,91,929.8,15.9,18,3,25.1
16.4,91,929.8,15.5,18,3,24.9
15.9,94,929.7,15.2,18,3,24.9
15.7,96,929.7,14.9,18,2,24.9
15.4,97,929.6,14.8,18,3,24.9
15.1,97,929.6,14.6,18,2,24.8
14.9,98,929.5,14.3,18,3,24.7
14.7,98,929.5,14.1,18,3,24.7
14.5,99,929.5,13.9,18,3,24.6
14.2,99,929.4,13.7,18,2,24.4
14.1,100,929.3,13.5,18,2,24.4
14,100,929.2,13.4,18,3,24.4
13.8,100,929.2,13.2,18,3,24.3
13.6,100,929.2,13,18,3,24.2
13.5,100,929.2,12.9,18,3,24.2
13.5,100,929.2,12.7,18,2,24.1
13.3,100,929.2,12.6,18,3,23.9
13.1,100,929.2,12.4,18,3,23.9
13.1,100,929.3,12.5,18,3,23.9
13,100,929.3,12.4,18,3,23.7
12.9,100,929.3,12.2,18,3,23.7
12.9,100,929.3,12.2,18,3,23.7
12.8,100,929.4,11.9,18,3,23.5
12.4,100,929.4,11.7,18,3,23.5
12.2,100,929.5,11.7,18,3,23.5
